Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
73320.0,80604.0,9.0,66
93258.0,120000.0,22.3,67
80760.0,113106.0,28.6,68
78816.0,101574.0,22.4,69
74328.0,106356.0,30.1,70
73464.0,84204.0,12.8,71
74520.0,110562.0,32.6,72
73524.0,74568.0,1.4,73
76704.0,108870.0,29.5,74
77580.0,111240.0,30.3,75
91176.0,103566.0,12.0,76
77364.0,104052.0,25.6,77
90564.0,115314.0,21.5,78
78300.0,84888.0,7.8,79
76980.0,117114.0,34.3,80
76368.0,114024.0,33.0,81
76632.0,84534.0,9.3,82
80454.0,103266.0,22.1,83
74604.0,75888.0,1.7,84
76968.0,117114.0,34.3,85
76002.0,106524.0,28.7,86
87690.0,119640.0,26.7,87
76788.0,108900.0,29.5,88
79830.0,106842.0,25.3,89
79896.0,107658.0,25.8,90
75024.0,116604.0,35.7,91
76212.0,109986.0,30.7,92
75114.0,96912.0,22.5,93
69906.0,74820.0,6.6,94
65346.0,69468.0,5.9,95
79104.0,107622.0,26.5,96
80388.0,120000.0,33.0,97
75660.0,110742.0,31.7,98
77124.0,82434.0,6.4,99
82356.0,112860.0,27.0,100
75888.0,96960.0,21.7,101
80952.0,118134.0,31.5,102
76590.0,105048.0,27.1,103
86262.0,102444.0,15.8,104
80472.0,112038.0,28.2,105
78468.0,120000.0,34.6,106
78972.0,100662.0,21.5,107
76632.0,95700.0,19.9,108
79104.0,99282.0,20.3,109
78582.0,105774.0,25.7,110
74748.0,79596.0,6.1,111
74064.0,98142.0,24.5,112
81300.0,90924.0,10.6,113
